-20.0,0.835202
-19.5,0.803097
-19.0,0.765146
-18.5,0.720971
-18.0,0.669579
-17.5,0.611374
-17.0,0.54807
-16.5,0.478684
-16.0,0.405234
-15.5,0.331696
-15.0,0.259642
-14.5,0.19443
-14.0,0.136984
-13.5,0.090579
-13.0,0.054292
-12.5,0.030671
-12.0,0.015537
-11.5,0.006831
-11.0,0.00261
-10.5,0.000898
-10.0,0.000247
-9.5,6.7e-5
-9.0,7.0e-6
-8.5,1.0e-6
-8.0,1.0e-6
-7.5,0.0
-7.0,0.0
-6.5,0.0
-6.0,0.0
-5.5,0.0
-5.0,0.0
-4.5,0.0
-4.0,0.0
-3.5,0.0
-3.0,0.0
-2.5,0.0
-2.0,0.0
-1.5,0.0
-1.0,0.0
-0.5,0.0
0.0,0.0
